# CFRU hook symbols resolved against Radical Red v4.1
# ROM pinned by ../rom.sha1. Generated by tools/resolve_cfru_hooks.py — do not hand-edit.
# 539 resolved, 84 unresolved (of 623 hooks)
#
# name  vanilla_hook_addr  rr_compiled_addr (Thumb bit set)

CursorCb_NoEntry                                        0x08124278  0x090B4A89
LoadMaxNumPokemonChooseBattleTowerStringHook            0x08124184  0x09042F2D
CursorCb_Enter                                          0x08124154  0x090B491D
IsMonAllowedInBattleTower                               0x08127550  0x09079DA5
Task_ClosePartyMenuAfterText                            0x081255BC  0x090B36DD
CanPokemonSelectedBeEnteredInBattleTower                0x081275F8  0x090B4CD9
ExpandedAbilityNamesSummaryScreen                       0x08136714  0x09043071
ExpandedAbilityDescriptionsSummaryScreen                0x08136728  0x09043081
FieldMoveBadgeHook                                      0x0812461C  0x09043319
ItemUseCB_MedicineStep                                  0x081253B0  0x090B5285
Task_DoLearnedMoveFanfareAfterText                      0x08125CF4  0x090B55C9
DrawLevelUpWindowPg2Hook                                0x0811E950  0x090434AD
TryHandleLaunchBattleTableAnimationHook                 0x0803401E  0x090431B5
UpdateOamPriorityInAllHealthboxes                       0x0804828C  0x09067671
ModifyMegaCryHook                                       0x08071F8E  0x09043277
ScriptCmd_loadspritegfx                                 0x08072868  0x090640E1
TryStartShinyAnimation                                  0x080F1720  0x09064195
ShinyAnimFixHook                                        0x080F187C  0x09042C65
AnimTask_SlideOffScreen                                 0x080995FC  0x0906407D
AnimTask_SetCamouflageBlend                             0x080BA934  0x09064B6D
DetsinyBondASM1                                         0x080B6092  0x09034CFD
DetsinyBondASM2                                         0x080B6160  0x09034D17
EmbargoASM                                              0x080B68E4  0x0902484D
BLACKHOLE_ASM                                           0x080B60BC  0x09014D31
ANCHORSHOT_ASM                                          0x080AE484  0x0901CB65
FAIRY_LOCK_ASM                                          0x080AEBA0  0x090248FD
LIGHTOFRUIN_ASM                                         0x080AE5EC  0x09024B19
SKILLSWAP_CHOOSER                                       0x080B39B4  0x0903DEE5
SLUDGE_WAVE_ASM                                         0x080AB43C  0x0902DD91
ROLLOUT_TIMER_ASM                                       0x080B4C40  0x0902E221
HEX_SIDE_ASM                                            0x080B8D74  0x0902F22D
ENCORE_USER_ASM                                         0x080E0DA8  0x09036BED
DISABLE_TIME_ASM                                        0x080A7FF8  0x0903776D
WATERGUN_ASM                                            0x080A7C28  0x0900CDE5
ION_DELUGE_ASM                                          0x080AAC24  0x09022F25
CoreEnforcerASM                                         0x080A243C  0x0901B3D9
CaptureExperienceEvolutionHook                          0x08015A44  0x09042D19
GetPokeBallBattleScriptHook                             0x0801645E  0x09042C2D
PlayerHandleBallThrowAnim                               0x080327B0  0x0907D9E1
SetMonPokeBallHook                                      0x08040858  0x09044AE5
LoadBallGfx                                             0x0804BEF4  0x0907DB35
GetBattlerPokeballItemId                                0x0804BF90  0x0907DB9D
GetProperBallIdHook1                                    0x0804AA1E  0x09042C11
GetProperBallIdHook2                                    0x080EF3A8  0x09042C21
AnimTask_LoadBallGfx                                    0x080EF490  0x0907DB79
AnimTask_FreeBallGfx                                    0x080EF4B8  0x0907DA4D
ItemIdToBallId                                          0x080EF52C  0x0907D961
OakIntroPokeballFixHook                                 0x0804B946  0x09042C4D
TradePokeballFixHook                                    0x0804BBD8  0x09042C59
DoubleWildPokeBallItemUseFixHook                        0x080A1E2C  0x09042CC9
DoubleWildDexHook1                                      0x0802D9D8  0x09042CF5
DoubleWildDexHook2                                      0x0802DAEC  0x09042D09
PokeBallThrowSoundHook                                  0x0804AA2C  0x09042D61
TrainersThrowPokeBallsHook1                             0x0804AB04  0x09042D75
TrainersThrowPokeBallsHook2                             0x0804B80E  0x09042D95
SpriteCB_OpponentMonSendOut_1                           0x0804B868  0x09068C95
BattleLoadOpponentMonSpriteGfxHook                      0x0803432C  0x09044131
BattleLoadPlayerMonSpriteGfxHook                        0x080344A4  0x09044143
UpdateNickForIllusionHook                               0x080496C8  0x09044155
UpdatePokeBallForIllusionHook                           0x0804A9E0  0x09044167
UpdateYDeltaForIllusionHook                             0x08074598  0x09044179
GetBattlerYDeltaFromSpriteId                            0x080764EC  0x090678B1
GetBattlerSpriteCoordAttrPlayerIllusionHook             0x08076B5C  0x09044191
GetBattlerSpriteCoordAttrEnemyIllusionHook              0x08076C1A  0x090441AB
StandardWildEncounter                                   0x08082CBC  0x090C385F
RockSmashWildEncounter                                  0x08082E54  0x090C37C9
SweetScentWildEncounter                                 0x08082EC0  0x090C36FD
DoesCurrentMapHaveFishingMons                           0x08082F78  0x090C39F1
FishingWildEncounter                                    0x08082FB0  0x090C3A61
TryStandardWildEncounter                                0x080833B0  0x090C39A5
ScrCmd_setwildbattle                                    0x0806C368  0x090C3451
sp138_StartLegendaryBattle                              0x0807F9D8  0x090C3211
CreateWildMon                                           0x080829FC  0x090C292D
GetLocalWildMon                                         0x08082FE8  0x090C3631
GetLocalWaterMon                                        0x08083074  0x090C360D
GetAbilityEncounterRateModType                          0x08082C58  0x090C3109
GetMapBaseEncounterCooldown                             0x0808324C  0x090C380D
DestroyRoamerIconTownMapSwitchHook                      0x080C111C  0x09043475
CreateRoamerIconTownMapPostSwitchMapHook                0x080C120C  0x09043455
DestroyRoamerIconTownMapCloseHook                       0x080C2D44  0x09043489
CreateRoamerIconTownMapHook                             0x080C48AC  0x0904344D
HideOrShowRoamerIconTownMapHook                         0x080C49F8  0x090434A5
ClearRoamersData                                        0x08141C54  0x090B81ED
sp129_InitRoamer                                        0x08141D9C  0x090B8465
UpdateLocationHistoryForRoamers                         0x08141DAC  0x090B822D
RoamersMoveToOtherLocationSet                           0x08141DD4  0x090B8269
RoamersMove                                             0x08141E28  0x090B82B9
UpdateFoughtRoamerHPStatus                              0x08141FE8  0x090B83D5
SetFoughtRoamerInactive                                 0x0814201C  0x090B8409
HandleWriteSector                                       0x080D9870  0x090B8CB5
HandleLoadSector                                        0x080D9E54  0x090B8B75
HandleSavingData                                        0x080DA248  0x090B8E09
LinkBattleSaveHook                                      0x0806FC84  0x09042E29
NewGameSaveClearHook                                    0x08054A60  0x09042E35
ExpandedVarsHook                                        0x0806E454  0x09042DC5
ExpandedFlagsHook                                       0x0806E5C0  0x09042DED
MainMenuBadSaveTypeMsgHook                              0x0800C61C  0x090434E1
MainMenuRTCWarningHook1                                 0x0800C718  0x090434F1
MainMenuRTCWarningHook2                                 0x0800C7A4  0x0904351D
CalculateMonStatsNew                                    0x0803E47C  0x090788FD
SetMonHeldItemHook                                      0x08040784  0x09044AF1
GetMonAbility                                           0x08040D38  0x09079809
RandomlyGivePartyPokerus                                0x08043A68  0x0907C7F9
UpdatePartyPokerusTime                                  0x08043B38  0x0907C8B9
PartySpreadPokerus                                      0x08043B40  0x0907C929
SetMonExpWithMaxLevelCheck                              0x08043B48  0x0907C7B5
GiveRandomFrontierMonByTier                             0x0802883C  0x09079FA1
RandomizerShowPokepicHook                               0x0809D2FC  0x09043555
TransferPlttBuffer                                      0x08070474  0x0908CC1D
LoadMapFromCameraTransition_DNSFixHook1                 0x08055880  0x0904368D
LoadMapFromCameraTransition_DNSFixHook2                 0x080558C4  0x090436B5
PlayTimeCounter_Update                                  0x0805486C  0x090B8AB9
DNSCreateBuyMenuHook                                    0x0809AC84  0x090433CD
RemoveShopModifierCheats                                0x0809B18E  0x0904364D
DNSEndBuyMenuHook                                       0x0809C078  0x090433D9
Task_ReturnToItemListAfterItemPurchase                  0x0809BF68  0x090A5CF5
pcSelect_ClosingCheck                                   0x0808EBB2  0x090446D1
pcSelect_HackWithdrawBRM                                0x08094982  0x09044709
pcSelect_ForceMulti                                     0x0810F99C  0x090447F1
pcSelect_ChooseSelect                                   0x0808D934  0x09044845
pcSelect_NoPartyString                                  0x0808D3B8  0x0904474D
pcSelect_OperationsMsg                                  0x0808ED54  0x09044775
pcSelect_SkipMultiGen                                   0x0808C3E0  0x0904479D
pcSelect_SkipWithdrawCount                              0x0808C53C  0x090447CD
pcSelect_SwapDecision                                   0x0808ED8C  0x09044615
ReadKeys                                                0x080005E8  0x090B7F05
DiveCheckEmergeHook                                     0x0806CB30  0x09043335
DiveCheckDownHook                                       0x0806CCCC  0x09043369
GetEventObjectGraphicsInfo                              0x0805F2C8  0x0907E501
InitPlayerAvatarHook                                    0x080570CC  0x090433B5
UpdateEventObjectLargerGraphicsId                       0x0805E150  0x0904241B
NewNpcInfo                                              0x0805E964  0x09042459
